L0 = ;d = ;Polymer 
 ;TEMP:;T:19.6 /0.0 B:0.0 /0.0 T0:19.6 /0.0 @:0 B
 ;TEMP:;T:19.6 /0.0 B:0.0 /0.0 T0:19.6 /0.0 @:0 B
158553600;06:04:31;-2,4;0
171092000;06:04:32;2,0;0,0
62013964;06:04:33;-4,2;0,0
103860576;06:04:34;0,4;0,0
247922368;06:04:35;4,2;0,0
98308184;06:04:36;7,6;0,0
177366048;06:04:36;0,2;0,0
120615008;06:04:37;3,8;0,0
65793332;06:04:38;0,6;0,0
141280944;06:04:39;0,8;0,0
144641712;06:04:40;5,4;0,0
108847776;06:04:41;8,0;0,0
359913440;06:04:42;3,6;0,0
78199272;06:04:43;-0,4;0,0
73680752;06:04:43;0,6;0,0
553190144;06:04:44;3,4;0,0
116550200;06:04:45;7,0;0,0
126843936;06:04:46;7,6;0,0
245213488;06:04:47;15,0;0,0
68084736;06:04:48;11,8;0,0
123473784;06:04:49;13,2;0,0
171092000;06:04:50;14,4;0,0
107419024;06:04:50;16,2;0,0
236163792;06:04:51;15,2;0,0
455808352;06:04:52;-519,0;0,04
175933936;06:04:53;305,0;0,1
79652136;06:04:54;399,8;0,18
213525248;06:04:55;458,8;0,25
139885296;06:04:55;578,6;0,32
111207976;06:04:56;713,0;0,4
362754752;06:04:57;851,2;0,47
60062844;06:04:58;992,4;0,53
86930200;06:04:59;1117,0;0,6
257877008;06:05:00;1238,6;0,68
90721968;06:05:01;1354,6;0,75
162738944;06:05:02;1465,2;0,81
268631744;06:05:02;835,2;0,88
390440416;06:05:03;1303,8;0,95
69219520;06:05:04;1825,0;1,01
422575136;06:05:05;1540,8;1,1
242560176;06:05:06;1201,8;1,17
80647808;06:05:07;1690,6;1,21
138064144;06:05:07;1771,4;1,28
70256472;06:05:08;1420,0;1,35
116222800;06:05:09;1945,4;1,42
113040968;06:05:10;2015,8;1,48
298742752;06:05:10;1157,8;1,53
220958752;06:05:11;2153,8;1,61
232479648;06:05:12;1746,8;1,67
121672448;06:05:13;2788,8;1,73
70388024;06:05:14;1866,8;1,8
479308480;06:05:14;1410,4;1,85
169754304;06:05:15;946,2;1,9
287398656;06:05:16;3040,4;1,98
106300552;06:05:17;3131,4;2,05
218784592;06:05:17;3213,8;2,11
88293376;06:05:18;3280,6;2,2
85979680;06:05:19;3344,6;2,26
192156544;06:05:20;2289,6;2,33
92409216;06:05:21;3392,2;2,39
80313488;06:05:22;3441,2;2,46
393772736;06:05:23;3503,0;2,54
152915728;06:05:23;-567,6;2,59
111207976;06:05:24;-271,0;2,66
117542328;06:05:25;-53,6;2,74
154012608;06:05:26;-58,0;2,81
63523252;06:05:27;-53,8;2,87
114930416;06:05:28;-55,0;2,96
129187240;06:05:29;-58,4;3,02
117209856;06:05:29;-54,2;3,09
336168320;06:05:30;-49,4;3,17
72832344;06:05:31;-53,0;3,24
89492712;06:05:32;-47,4;3,3
183320272;06:05:33;-53,6;3,39
118212592;06:05:34;-53,4;3,46
469627424;06:05:35;-46,4;3,52
79816536;06:05:36;-47,6;3,6
83415040;06:05:37;-40,2;3,67
231275664;06:05:37;-42,4;3,74
9789422;06:05:38;-43,0;3,82
202767824;06:05:39;-41,4;3,88
95049472;06:05:40;-42,4;3,95
75729976;06:05:41;-41,2;4,02
357114656;06:05:42;-46,6;4,1
105475568;06:05:43;-48,8;4,17
175226512;06:05:44;-46,0;4,23
101014688;06:05:44;-50,0;4,31
66383112;06:05:45;-46,2;4,38
209489328;06:05:46;-39,0;4,45
107986320;06:05:47;-40,2;4,53
122029064;06:05:48;-41,2;4,6
193850592;06:05:49;-41,0;4,66
59078092;06:05:50;-42,0;4,75
123840088;06:05:51;-48,2;4,81
135849072;06:05:51;-41,2;4,88
109137736;06:05:52;-46,2;4,96
42640108;06:05:53;-43,8;5,03
66146124;06:05:54;-43,2;5,09
87509784;06:05:55;-45,6;5,18
298742752;06:05:56;-49,4;5,24
99276824;06:05:57;-46,0;5,29
