L0 = ;d = ;Polymer 
 ;TEMP:;T:20.1 /0.0 B:0.0 /0.0 T0:20.1 /0.0 @:0 B
 ;TEMP:;T:20.1 /0.0 B:0.0 /0.0 T0:20.1 /0.0 @:0 B
296793056;07:01:07;-6,2;0
73113240;07:01:08;-6,0;0,0
80480304;07:01:09;-0,6;0,0
177366048;07:01:10;-6,4;0,0
40219572;07:01:11;-2,4;0,0
62438812;07:01:12;2,4;0,0
180296480;07:01:13;8,0;0,0
63744092;07:01:14;5,4;0,0
125701888;07:01:14;8,8;0,0
77882768;07:01:15;6,6;0,0
41102056;07:01:16;1,2;0,0
112731688;07:01:17;2,2;0,0
83059872;07:01:18;1,6;0,0
69734600;07:01:19;7,2;0,0
326567520;07:01:20;9,6;0,0
46544500;07:01:21;8,2;0,0
49549612;07:01:21;6,6;0,0
249298592;07:01:22;7,6;0,0
63523252;07:01:23;-0,2;0,0
98548688;07:01:24;2,2;0,0
107702000;07:01:25;6,2;0,0
32470600;07:01:26;2,8;0,0
93274352;07:01:27;10,8;0,0
96190424;07:01:28;9,6;0,0
67103132;07:01:28;-9,2;0,0
738;07:01:29;6,8;0,0
48559056;07:01:30;24,2;0,0
47333308;07:01:31;21,2;0,0
225432320;07:01:32;24,4;0,0
69605232;07:01:33;19,4;0,0
89089728;07:01:34;16,6;0,0
138064144;07:01:35;17,2;0,0
35593912;07:01:35;17,2;0,0
91982160;07:01:36;20,0;0,0
106857072;07:01:37;18,2;0,0
60464700;07:01:38;22,8;0,0
237416512;07:01:39;18,8;0,0
40270616;07:01:40;22,4;0,0
825;07:01:41;-14,4;0,0
29784048;07:01:42;-102,0;0,0
14190001;07:01:42;-29,2;0,0
304779;07:01:43;-79,4;0,0
301439;07:01:44;-41,2;0,0
39706;07:01:45;-123,8;0,0
16995;07:01:46;-23,6;0,0
93492920;07:01:47;45,6;0,0
70785272;07:01:48;40,2;0,0
296793056;07:01:49;38,8;0,0
48213292;07:01:49;42,2;0,0
48908976;07:01:50;42,2;0,0
276859488;07:01:51;42,4;0,0
66982208;07:01:52;41,4;0,0
87122600;07:01:53;42,0;0,0
282033152;07:01:54;42,0;0,0
40944064;07:01:55;41,8;0,0
62225784;07:01:56;42,4;0,0
164597488;07:01:56;42,2;0,0
61803484;07:01:57;41,4;0,0
114611544;07:01:58;40,0;0,0
64414668;07:01:59;43,2;0,0
41367632;07:02:00;43,6;0,0
145629408;07:02:01;42,8;0,0
74111512;07:02:02;44,8;0,0
74401184;07:02:03;46,4;0,0
195573344;07:02:03;47,4;0,0
38783176;07:02:04;49,8;0,0
65097636;07:02:05;46,6;0,0
124208176;07:02:06;49,2;0,0
65443904;07:02:07;47,8;0,0
178819664;07:02:08;48,8;0,0
49191996;07:02:09;48,8;0,0
43948260;07:02:10;46,6;0,0
275174624;07:02:10;48,4;0,0
67103132;07:02:11;48,4;0,0
86357584;07:02:12;48,6;0,0
121672448;07:02:13;48,0;0,0
38072320;07:02:14;49,0;0,0
81154040;07:02:15;46,4;0,0
94154384;07:02:16;48,2;0,0
67713680;07:02:17;49,6;0,0
304747424;07:02:17;50,8;0,0
43538788;07:02:18;46,6;0,0
52023980;07:02:19;50,8;0,0
181043856;07:02:20;49,8;0,0
62225784;07:02:21;52,8;0,0
138515040;07:02:22;49,8;0,0
54714964;07:02:23;51,2;0,0
42570004;07:02:24;51,0;0,0
310989920;07:02:25;52,8;0,0
66383112;07:02:25;52,8;0,0
89492712;07:02:26;51,4;0,0
94599976;07:02:27;55,2;0,0
39714692;07:02:28;52,6;0,0
105749232;07:02:29;55,6;0,0
79652136;07:02:30;56,4;0,0
70256472;07:02:31;56,2;0,0
273510144;07:02:32;53,6;0,0
41314284;07:02:32;54,6;0,0
55143340;07:02:33;55,0;0,0
172449072;07:02:34;57,8;0,0
61698684;07:02:35;57,4;0,0
141280944;07:02:36;57,6;0,0
56195208;07:02:37;56,8;0,0
41852720;07:02:38;58,0;0,0
193000080;07:02:39;61,4;0,0
73254360;07:02:39;56,6;0,0
76182320;07:02:40;61,0;0,0
170420704;07:02:41;59,6;0,0
38735108;07:02:42;59,2;0,0
66741432;07:02:43;60,2;0,0
139425712;07:02:44;61,0;0,0
63744092;07:02:45;58,4;0,0
152915728;07:02:46;59,6;0,0
53463164;07:02:46;60,2;0,0
42682128;07:02:47;58,6;0,0
291086272;07:02:48;60,2;0,0
70520008;07:02:49;59,4;0,0
79488344;07:02:50;59,8;0,0
151297088;07:02:51;58,0;0,0
38831320;07:02:52;58,4;0,0
73967408;07:02:53;63,0;0,0
107702000;07:02:53;61,4;0,0
67836968;07:02:54;60,4;0,0
225432320;07:02:55;63,0;0,0
48282136;07:02:56;62,4;0,0
46030696;07:02:57;60,8;0,0
254954864;07:02:58;65,8;0,0
62760776;07:02:59;63,0;0,0
103595776;07:03:00;59,4;0,0
82707456;07:03:00;63,2;0,0
40891616;07:03:01;61,4;0,0
124208176;07:03:02;63,8;0,0
78199272;07:03:03;62,0;0,0
70125352;07:03:04;63,8;0,0
304747424;07:03:05;63,4;0,0
41314284;07:03:06;62,2;0,0
53957988;07:03:07;61,6;0,0
182555280;07:03:07;62,0;0,0
61803484;07:03:08;63,0;0,0
120965624;07:03:09;62,2;0,0
68585024;07:03:10;60,8;0,0
40787032;07:03:11;63,0;0,0
128791184;07:03:12;61,2;0,0
79488344;07:03:13;60,6;0,0
70652416;07:03:14;64,0;0,0
333716992;07:03:14;62,2;0,0
44908420;07:03:15;64,6;0,0
47736088;07:03:16;62,6;0,0
260863472;07:03:17;65,8;0,0
63855040;07:03:18;64,8;0,0
93056688;07:03:19;65,2;0,0
106578088;07:03:20;64,6;0,0
38259824;07:03:21;66,2;0,0
78040696;07:03:21;65,0;0,0
113040968;07:03:22;63,2;0,0
66383112;07:03:23;63,6;0,0
182555280;07:03:24;64,4;0,0
50500208;07:03:25;64,6;0,0
42514104;07:03:26;65,0;0,0
249298592;07:03:27;63,6;0,0
71727768;07:03:28;64,6;0,0
75134216;07:03:28;65,0;0,0
176647088;07:03:29;67,2;0,0
38735108;07:03:30;65,0;0,0
61076332;07:03:31;68,6;0,0
161522304;07:03:32;65,8;0,0
61698684;07:03:33;64,4;0,0
124950768;07:03:34;64,6;0,0
65560040;07:03:35;66,8;0,0
40787032;07:03:35;67,4;0,0
121672448;07:03:36;65,4;0,0
77725400;07:03:37;68,2;0,0
71186512;07:03:38;66,6;0,0
205597280;07:03:39;65,2;0,0
39865084;07:03:40;67,2;0,0
60162888;07:03:41;68,8;0,0
149188848;07:03:42;65,4;0,0
62225784;07:03:43;67,2;0,0
146127920;07:03:43;66,4;0,0
54041144;07:03:44;67,2;0,0
41907200;07:03:45;65,4;0,0
254954864;07:03:46;68,2;0,0
69864448;07:03:47;65,0;0,0
77101552;07:03:48;68,2;0,0
152372544;07:03:49;69,4;0,0
38212808;07:03:50;68,8;0,0
72001104;07:03:50;69,4;0,0
114930416;07:03:51;70,6;0,0
65443904;07:03:52;67,6;0,0
193000080;07:03:53;68,0;0,0
48213292;07:03:54;69,8;0,0
43365224;07:03:55;69,4;0,0
296793056;07:03:56;67,8;0,0
68084736;07:03:57;71,6;0,0
79162520;07:03:57;71,6;0,0
155686544;07:03:58;69,4;0,0
38354132;07:03:59;69,2;0,0
60769188;07:04:00;71,0;0,0
167785280;07:04:01;71,8;0,0
61076332;07:04:02;69,8;0,0
121672448;07:04:03;70,2;0,0
73113240;07:04:04;71,6;0,0
40016376;07:04:04;75,4;0,0
104662328;07:04:05;71,6;0,0
80984672;07:04:06;75,2;0,0
67590832;07:04:07;74,6;0,0
292964704;07:04:08;71,0;0,0
44847408;07:04:09;73,0;0,0
46544500;07:04:10;71,8;0,0
254954864;07:04:11;73,8;0,0
62868720;07:04:11;73,0;0,0
98790376;07:04:12;76,8;0,0
97356592;07:04:13;75,6;0,0
38119048;07:04:14;75,0;0,0
90721968;07:04:15;74,8;0,0
88293376;07:04:16;72,4;0,0
66502108;07:04:17;75,8;0,0
263917280;07:04:18;75,0;0,0
45526232;07:04:18;75,6;0,0
46222264;07:04:19;74,6;0,0
260863472;07:04:20;72,4;0,0
63303784;07:04:21;73,6;0,0
92195248;07:04:22;74,4;0,0
100512504;07:04:23;78,2;0,0
38025672;07:04:24;74,8;0,0
95502912;07:04:25;74,4;0,0
83237168;07:04:25;72,0;0,0
67224496;07:04:26;74,6;0,0
308881280;07:04:27;77,6;0,0
43250120;07:04:28;74,4;0,0
48489568;07:04:29;76,2;0,0
241254944;07:04:30;76,4;0,0
61594192;07:04:31;76,2;0,0
105475568;07:04:32;79,2;0,0
82707456;07:04:32;75,8;0,0
39614948;07:04:33;77,0;0,0
113040968;07:04:34;78,4;0,0
77725400;07:04:35;76,8;0,0
69219520;07:04:36;77,6;0,0
224297504;07:04:37;77,8;0,0
38591532;07:04:38;77,4;0,0
61282540;07:04:39;76,6;0,0
134124264;07:04:39;76,8;0,0
64414668;07:04:40;79,2;0,0
173827840;07:04:41;77,6;0,0
47939652;07:04:42;78,0;0,0
43135536;07:04:43;76,2;0,0
294866464;07:04:44;75,2;0,0
64077832;07:04:45;76,8;0,0
94599976;07:04:46;78,8;0,0
88689864;07:04:46;79,0;0,0
39614948;07:04:47;78,0;0,0
121672448;07:04:48;79,2;0,0
75134216;07:04:49;78,8;0,0
72138488;07:04:50;78,4;0,0
206557872;07:04:51;78,8;0,0
39814840;07:04:52;75,6;0,0
63303784;07:04:53;77,4;0,0
128397128;07:04:53;79,6;0,0
63523252;07:04:54;74,4;0,0
182555280;07:04:55;81,4;0,0
46936188;07:04:56;78,6;0,0
44007288;07:04:57;77,2;0,0
271864736;07:04:58;79,2;0,0
64414668;07:04:59;78,6;0,0
90308896;07:05:00;78,4;0,0
97830192;07:05:01;79,0;0,0
37793812;07:05:01;77,0;0,0
90103608;07:05:02;79,4;0,0
83952904;07:05:03;78,8;0,0
67468312;07:05:04;78,4;0,0
304747424;07:05:05;80,2;0,0
44007288;07:05:06;80,2;0,0
48351092;07:05:07;79,8;0,0
231275664;07:05:08;80,0;0,0
61076332;07:05:08;80,4;0,0
108559200;07:05:09;77,6;0,0
77725400;07:05:10;78,0;0,0
39814840;07:05:11;80,4;0,0
120965624;07:05:12;79,8;0,0
76486536;07:05:13;82,4;0,0
71456240;07:05:14;82,8;0,0
213525248;07:05:15;84,8;0,0
39219988;07:05:15;82,6;0,0
62653152;07:05:16;80,8;0,0
115897240;07:05:17;80,4;0,0
65212704;07:05:18;81,0;0,0
249298592;07:05:19;82,0;0,0
44604680;07:05:20;82,0;0,0
48979524;07:05:21;83,0;0,0
206557872;07:05:22;84,6;0,0
59468616;07:05:22;82,2;0,0
130389296;07:05:23;83,6;0,0
55929060;07:05:24;85,0;0,0
41474632;07:05:25;82,4;0,0
254954864;07:05:26;84,0;0,0
69476224;07:05:27;83,0;0,0
79488344;07:05:28;83,2;0,0
137169920;07:05:29;86,6;0,0
36755756;07:05:29;84,8;0,0
68209208;07:05:30;83,4;0,0
124950768;07:05:31;80,8;0,0
63855040;07:05:32;84,0;0,0
158553600;07:05:33;83,0;0,0
51558812;07:05:34;84,2;0,0
41261076;07:05:35;86,2;0,0
249298592;07:05:36;84,2;0,0
69994720;07:05:36;83,6;0,0
76486536;07:05:37;84,4;0,0
161522304;07:05:38;84,2;0,0
37336816;07:05:39;84,2;0,0
69091816;07:05:40;86,0;0,0
120266416;07:05:41;86,2;0,0
63194544;07:05:42;85,6;0,0
165225312;07:05:43;84,8;0,0
49911652;07:05:43;84,0;0,0
42402700;07:05:44;85,2;0,0
275174624;07:05:45;87,6;0,0
68459352;07:05:46;85,0;0,0
77725400;07:05:47;86,8;0,0
144152224;07:05:48;87,0;0,0
37066832;07:05:49;84,8;0,0
69347696;07:05:50;86,6;0,0
120266416;07:05:50;83,2;0,0
64640920;07:05:51;85,0;0,0
202767824;07:05:52;86,6;0,0
46286456;07:05:53;88,2;0,0
46030696;07:05:54;89,2;0,0
285588640;07:05:55;87,6;0,0
62653152;07:05:56;84,8;0,0
97121264;07:05:57;86,8;0,0
82883328;07:05:57;89,4;0,0
39367348;07:05:58;89,2;0,0
125325104;07:05:59;85,8;0,0
74839520;07:06:00;88,8;0,0
73396032;07:06:01;85,2;0,0
171767856;07:06:02;84,4;0,0
37840000;07:06:03;87,8;0,0
66741432;07:06:04;87,6;0,0
119574344;07:06:04;85,2;0,0
65097636;07:06:05;86,8;0,0
181796640;07:06:06;87,0;0,0
47939652;07:06:07;87,2;0,0
44364120;07:06:08;87,4;0,0
282033152;07:06:09;89,6;0,0
