L0 = ;d = ;Polymer 
 ; ;TEMP:;ok T:18.5 /0.0 B:0.0 /0.0 T0:18.5 /0.0 @:0 B
 ; ;TEMP:;ok T:18.6 /0.0 B:0.0 /0.0 T0:18.6 /0.0 @:0 B
1942;04:03:10;5,4;0,0
1949;04:03:10;4,0;0,0
1936;04:03:11;6,6;0,0
1937;04:03:12;4,0;0,0
1942;04:03:13;3,4;0,0
1934;04:03:14;5,8;0,0
1941;04:03:15;5,8;0,0
1934;04:03:16;6,0;0,0
1934;04:03:17;2,0;0,0
1919;04:03:17;6,4;0,0
1937;04:03:18;6,0;0,0
1925;04:03:19;3,6;0,0
1924;04:03:20;5,8;0,0
1915;04:03:21;7,2;0,0
1925;04:03:22;4,8;0,0
1910;04:03:23;3,0;0,0
1920;04:03:24;5,4;0,0
1914;04:03:24;5,2;0,0
1909;04:03:25;6,8;0,0
1919;04:03:26;7,6;0,0
1920;04:03:27;4,0;0,0
1917;04:03:28;5,0;0,0
1922;04:03:29;6,8;0,0
1920;04:03:30;3,0;0,0
1920;04:03:31;7,0;0,0
1919;04:03:31;3,0;0,0
1919;04:03:32;6,4;0,0
1909;04:03:33;4,6;0,0
1914;04:03:34;8,0;0,0
1905;04:03:35;7,4;0,0
1910;04:03:36;9,4;0,0
1909;04:03:37;5,0;0,0
1902;04:03:38;6,2;0,0
1899;04:03:38;4,4;0,0
1890;04:03:39;7,2;0,0
1897;04:03:40;10,6;0,0
1895;04:03:41;6,4;0,0
1897;04:03:42;5,8;0,0
1973;04:03:43;21,6;0,45
2135;04:03:44;53,0;1,29
2369;04:03:45;95,8;1,97
2638;04:03:45;127,0;2,64
2829;04:03:46;157,6;3,49
3021;04:03:47;183,6;4,17
3098;04:03:48;202,8;4,84
3202;04:03:49;218,2;5,69
3359;04:03:50;235,8;6,36
3461;04:03:51;246,2;7,04
3426;04:03:52;256,4;7,88
3589;04:03:52;271,2;8,56
3603;04:03:53;277,0;9,24
3639;04:03:54;290,2;10,08
3596;04:03:55;296,6;10,76
3664;04:03:56;306,8;11,43
3675;04:03:57;316,4;12,28
3759;04:03:58;320,4;12,95
3789;04:03:59;328,8;13,63
3741;04:03:59;336,6;14,47
3822;04:04:00;346,0;15,15
3796;04:04:01;354,0;15,83
3852;04:04:02;357,8;16,67
3915;04:04:03;366,6;17,35
3841;04:04:04;371,6;18,03
4006;04:04:05;380,0;18,87
3980;04:04:06;386,4;19,55
3995;04:04:06;394,8;20,22
3984;04:04:07;402,4;21,07
3904;04:04:08;407,6;21,74
3923;04:04:09;414,6;22,42
3946;04:04:10;419,4;23,1
4033;04:04:11;429,6;23,94
4048;04:04:12;438,6;24,62
4106;04:04:13;447,0;25,3
4099;04:04:13;454,2;26,14
4099;04:04:14;457,8;26,82
4149;04:04:15;462,6;27,49
4041;04:04:16;472,0;28,34
4251;04:04:17;485,4;29,01
4306;04:04:18;491,2;29,69
4219;04:04:19;501,2;30,53
4227;04:04:20;515,0;31,21
4275;04:04:20;522,4;31,89
4247;04:04:21;535,0;32,73
4251;04:04:22;541,6;33,41
4141;04:04:23;553,2;34,09
4346;04:04:24;558,0;34,93
4227;04:04:25;570,4;35,61
4056;04:04:26;559,6;36,28
4083;04:04:27;538,8;37,13
4014;04:04:27;530,6;37,8
3953;04:04:28;528,2;38,48
3949;04:04:29;519,6;39,32
3934;04:04:30;513,4;40,0
3938;04:04:31;508,6;40,67
3980;04:04:32;504,2;41,52
3931;04:04:33;503,8;42,19
3949;04:04:34;499,2;42,7
