L0 = ;d = ;Polymer 
 ; ;TEMP:;ok T:19.1 /0.0 B:0.0 /0.0 T0:19.1 /0.0 @:0 B
 ; ;TEMP:;ok T:19.2 /0.0 B:0.0 /0.0 T0:19.2 /0.0 @:0 B
570;14:21:42;4,6;0
569;14:21:43;-2,4;0,0
571;14:21:44;0,8;0,0
568;14:21:45;0,2;0,0
568;14:21:46;2,2;0,0
566;14:21:47;-0,4;0,0
569;14:21:47;-1,8;0,0
569;14:21:48;2,4;0,0
573;14:21:49;-4,8;0,0
569;14:21:50;-5,0;0,0
569;14:21:51;1,0;0,0
566;14:21:52;0,4;0,0
573;14:21:53;-1,6;0,0
570;14:21:54;-1,6;0,0
571;14:21:54;-3,8;0,0
568;14:21:55;3,6;0,0
567;14:21:56;3,6;0,0
573;14:21:57;-1,4;0,0
579;14:21:58;-3,6;0,0
616;14:21:59;7,6;0,0
613;14:22:00;6,4;0,0
258029;14:22:01;16,0;0,0
8729;14:22:01;2,0;0,0
5812;14:22:02;8,6;0,0
563;14:22:03;-2,0;0,0
9695938;14:22:04;-1,8;0,0
16586;14:22:05;1,6;0,0
452170;14:22:06;4,8;0,0
1817;14:22:07;0,2;0,0
1644;14:22:08;3,4;0,0
1688;14:22:08;0,2;0,0
2443;14:22:09;3,8;0,0
3051;14:22:10;0,8;0,0
3318;14:22:11;0,8;0,0
2048;14:22:12;4,4;0,0
2735;14:22:13;-2,6;0,0
2113;14:22:14;0,0;0,0
1847;14:22:15;0,0;0,0
2214;14:22:15;5,0;0,0
3359;14:22:16;0,0;0,0
6247;14:22:17;1,0;0,0
6643;14:22:18;-3,4;0,0
8100;14:22:19;-3,4;0,0
11357;14:22:20;-2,8;0,0
13085;14:22:21;4,6;0,0
69786;14:22:22;-2,8;0,0
81886;14:22:22;3,8;0,0
5237;14:22:23;-2,4;0,0
93;14:22:24;0,0;0,0
1203833;14:22:25;-0,2;0,0
18019;14:22:26;-4,4;0,0
594;14:22:27;-4,8;0,0
109527;14:22:28;3,8;0,0
5413;14:22:29;0,4;0,0
9717;14:22:30;9,8;0,0
1951;14:22:30;-5,4;0,0
8737;14:22:31;-8,0;0,0
3157;14:22:32;-1,0;0,0
3219;14:22:33;-4,6;0,0
5064;14:22:34;-4,0;0,0
6702;14:22:35;-0,6;0,0
8990;14:22:36;-4,6;0,0
6946;14:22:37;-3,2;0,0
3934;14:22:37;-1,2;0,0
2834;14:22:38;-3,2;0,0
5207;14:22:39;-1,0;0,0
9740;14:22:40;-2,4;0,0
5340;14:22:41;-2,4;0,0
8479;14:22:41;-1715,4;0,0
8355;14:22:42;-1279,2;0,0
2769;14:22:43;-640,8;0,0
268631744;14:22:43;-2144,0;0,0
26649040;14:22:44;-1928,4;0,0
797005376;14:22:44;-2144,0;0,0
854606912;14:22:45;-404,4;0,0
7615;14:22:46;33,4;0,0
18411;14:22:47;38,0;0,0
3024;14:22:47;38,8;0,0
8373;14:22:48;33,2;0,0
2870;14:22:49;29,4;0,0
1980;14:22:50;25,4;0,0
3669;14:22:51;22,0;0,0
306801024;14:22:52;20,6;0,0
1413718016;14:22:53;21,4;0,0
387162112;14:22:54;119,0;0,66
516497536;14:22:54;258,6;1,34
723690048;14:22:55;347,2;2,02
253518080;14:22:56;414,8;2,86
387162112;14:22:57;466,6;3,53
839455360;14:22:58;513,6;4,21
383938432;14:22:59;549,4;5,06
691816832;14:23:00;577,4;5,73
418750912;14:23:01;601,0;6,41
259362064;14:23:02;625,2;7,25
540404480;14:23:02;641,6;7,93
580636928;14:23:03;664,0;8,61
387162112;14:23:04;678,2;9,28
958304448;14:23:05;692,4;10,13
343735840;14:23:06;707,0;10,8
259362064;14:23:07;719,2;11,5
1603480192;14:23:08;730,2;12,32
460327008;14:23:09;743,6;13,0
407678400;14:23:09;751,4;13,84
1659096192;14:23:10;760,0;14,52
263917280;14:23:11;769,6;15,2
313126336;14:23:12;777,0;16,04
1334660352;14:23:13;784,6;16,72
390440416;14:23:14;794,2;17,39
