L0 = ;d = ;Polymer 
 ; ;TEMP:;ok T:19.4 /0.0 B:0.0 /0.0 T0:19.4 /0.0 @:0 B
1161;14:26:07;0,0;0
 ; ;TEMP:;ok T:19.3 /0.0 B:0.0 /0.0 T0:19.3 /0.0 @:0 B
1151;14:26:10;0,0;0,0
1137;14:26:11;0,0;0,0
1146;14:26:11;0,0;0,0
1142;14:26:18;0,0;0,0
1127;14:26:21;0,0;0,0
1130;14:26:21;0,0;0,0
1132;14:26:22;0,0;0,0
1130;14:26:27;0,0;0,0
1127;14:26:28;0,0;0,0
1113;14:26:28;0,0;0,0
1115;14:26:29;0,0;0,0
1125;14:26:29;875,6;0,0
1118;14:26:30;0,0;0,0
1125;14:26:32;0,0;0,0
1161;14:26:33;0,0;0,0
1149;14:26:33;424,2;0,0
569;14:26:34;0,0;0,0
1163;14:26:35;0,0;0,0
1168;14:26:35;0,0;0,0
1156;14:26:36;213,6;0,0
855;14:26:36;642,8;0,0
855;14:26:37;853,2;0,0
855;14:26:37;0,0;0,0
846;14:26:38;0,0;0,0
865;14:26:38;436,0;0,0
852;14:26:40;0,0;0,0
852;14:26:40;0,0;0,0
857;14:26:42;0,0;0,0
852;14:26:43;0,0;0,0
841;14:26:43;0,0;0,0
854;14:26:44;0,0;0,0
846;14:26:44;0,0;0,0
827;14:26:45;0,0;0,0
1161;14:26:45;0,0;0,19
1322;14:26:46;0,0;1,0
1527;14:26:46;0,0;1,81
1707;14:26:46;0,0;2,62
1811;14:26:47;0,0;3,43
2082;14:26:51;0,0;11,13
2452;14:26:51;0,0;11,94
2339;14:26:52;558,0;13,16
2565;14:26:52;0,0;13,97
2642;14:26:53;0,0;15,59
2626;14:26:53;0,0;16,4
2824;14:26:54;0,0;17,21
2729;14:26:54;0,0;18,43
2757;14:26:55;0,0;19,24
3115;14:26:58;0,0;25,72
3199;14:26:58;0,0;26,53
3256;14:26:59;0,0;27,34
3297;14:26:59;0,0;28,15
3471;14:27:00;0,0;28,96
3585;14:27:01;0,0;30,99
3621;14:27:01;0,0;31,8
3639;14:27:02;0,0;33,82
3833;14:27:03;0,0;35,44
3778;14:27:03;0,0;35,85
