L0 = ;d = ;Polymer 
 ; ;TEMP:;ok T:18.6 /0.0 B:0.0 /0.0 T0:18.6 /0.0 @:0 B
 ; ;TEMP:;ok T:18.6 /0.0 B:0.0 /0.0 T0:18.6 /0.0 @:0 B
3715;04:15:02;6,4;0
3693;04:15:03;3,0;0,0
3701;04:15:04;3,8;0,0
3682;04:15:05;6,4;0,0
3701;04:15:06;2,6;0,0
3693;04:15:06;3,6;0,0
3701;04:15:07;5,6;0,0
3686;04:15:08;4,8;0,0
3712;04:15:09;5,0;0,0
3697;04:15:10;5,0;0,0
3690;04:15:11;1,2;0,0
3679;04:15:12;4,4;0,0
3693;04:15:13;6,8;0,0
3693;04:15:13;4,2;0,0
3697;04:15:14;4,6;0,0
3701;04:15:15;4,4;0,0
3686;04:15:16;7,8;0,0
3697;04:15:17;3,2;0,0
3697;04:15:18;2,8;0,0
3690;04:15:19;2,4;0,0
3697;04:15:20;1,0;0,0
3672;04:15:20;5,0;0,0
3675;04:15:21;5,0;0,0
3693;04:15:22;3,8;0,0
3679;04:15:23;4,2;0,0
3693;04:15:24;1,4;0,0
3650;04:15:25;1,4;0,0
3664;04:15:26;-0,4;0,0
3701;04:15:27;2,2;0,0
3701;04:15:27;2,0;0,0
3682;04:15:28;2,2;0,0
3672;04:15:29;1,4;0,0
3664;04:15:30;1,0;0,0
3668;04:15:31;4,8;0,0
3672;04:15:32;2,0;0,0
3686;04:15:33;3,8;0,0
3679;04:15:34;3,0;0,0
3686;04:15:34;4,2;0,0
3690;04:15:35;1,8;0,0
3693;04:15:36;4,8;0,0
3697;04:15:37;3,8;0,0
3682;04:15:38;0,6;0,0
3686;04:15:39;1,4;0,0
3690;04:15:40;3,2;0,0
3672;04:15:41;4,6;0,0
3726;04:15:41;-0,4;0,0
3704;04:15:42;2,8;0,0
3672;04:15:43;2,8;0,0
3679;04:15:44;2,2;0,0
3693;04:15:45;3,4;0,0
3693;04:15:46;0,8;0,0
3690;04:15:47;1,0;0,0
3708;04:15:48;1,0;0,0
3701;04:15:48;1,8;0,0
3672;04:15:49;1,2;0,0
3704;04:15:50;2,8;0,0
3690;04:15:51;2,8;0,0
3690;04:15:52;2,0;0,0
3679;04:15:53;3,2;0,0
3686;04:15:54;2,6;0,0
3693;04:15:55;1,2;0,0
3686;04:15:55;0,2;0,0
3686;04:15:56;-2,6;0,0
3704;04:15:57;3,0;0,0
3682;04:15:58;2,0;0,0
3672;04:15:59;3,4;0,0
3675;04:16:00;2,4;0,0
3690;04:16:01;1,8;0,0
3650;04:16:02;3,4;0,0
3682;04:16:02;3,0;0,0
3675;04:16:03;0,6;0,0
3679;04:16:04;5,6;0,0
3657;04:16:05;1,4;0,0
3668;04:16:06;4,4;0,0
3679;04:16:07;0,0;0,0
3686;04:16:08;3,0;0,0
3693;04:16:09;0,0;0,0
3686;04:16:09;1,0;0,0
3708;04:16:10;0,2;0,0
3693;04:16:11;0,0;0,0
3675;04:16:12;0,8;0,0
3686;04:16:13;4,2;0,0
3682;04:16:14;1,4;0,0
3679;04:16:15;4,0;0,0
3668;04:16:16;1,8;0,0
3690;04:16:16;2,0;0,0
3672;04:16:17;0,8;0,0
3668;04:16:18;-0,4;0,0
3664;04:16:19;-1,4;0,0
3664;04:16:20;0,0;0,0
