L0 = ;d = ;Polymer 
 ; ;TEMP:;ok T:18.8 /0.0 B:0.0 /0.0 T0:18.8 /0.0 @:0 B
 ; ;TEMP:;ok T:18.7 /0.0 B:0.0 /0.0 T0:18.7 /0.0 @:0 B
3672;04:27:27;5,8;0
3693;04:27:28;9,8;0,0
3675;04:27:29;9,2;0,0
3661;04:27:30;10,8;0,0
3657;04:27:30;9,2;0,0
3653;04:27:31;8,4;0,0
3664;04:27:32;13,2;0,0
3643;04:27:33;10,8;0,0
3657;04:27:34;11,8;0,0
3657;04:27:35;11,8;0,0
3675;04:27:36;12,2;0,0
3664;04:27:37;10,6;0,0
3657;04:27:37;12,2;0,0
3646;04:27:38;8,0;0,0
3672;04:27:39;9,8;0,0
3650;04:27:40;9,0;0,0
3646;04:27:41;14,0;0,0
3664;04:27:42;12,0;0,0
3690;04:27:43;9,4;0,0
3672;04:27:44;11,4;0,0
3675;04:27:44;7,4;0,0
3661;04:27:45;12,6;0,0
3668;04:27:46;8,4;0,0
3661;04:27:47;11,0;0,0
3672;04:27:48;6,6;0,0
