L0 = ;d = ;Polymer 
 ; ;TEMP:;ok T:18.7 /0.0 B:0.0 /0.0 T0:18.7 /0.0 @:0 B
 ; ;TEMP:;ok T:18.7 /0.0 B:0.0 /0.0 T0:18.7 /0.0 @:0 B
3646;04:40:10;-9,6;0
3657;04:40:11;-3,0;0,0
3661;04:40:11;-4,6;0,0
3653;04:40:12;-9,2;0,0
3650;04:40:13;-5,0;0,0
3646;04:40:14;-7,8;0,0
3664;04:40:15;-4,6;0,0
3643;04:40:16;-7,0;0,0
3661;04:40:17;-12,8;0,0
3657;04:40:18;-9,0;0,0
3661;04:40:18;-11,2;0,0
3650;04:40:19;-14,0;0,0
3650;04:40:20;-14,6;0,0
3643;04:40:21;-6,4;0,0
3639;04:40:22;0,6;0,0
3643;04:40:23;-7,8;0,0
3639;04:40:24;-15,8;0,0
3639;04:40:25;-15,2;0,0
3643;04:40:25;2,2;0,0
3646;04:40:26;-7,6;0,0
3632;04:40:27;-12,0;0,0
3621;04:40:28;-13,8;0,0
3646;04:40:29;-13,0;0,0
3635;04:40:30;-15,6;0,0
3643;04:40:31;-6,8;0,0
3639;04:40:32;-7,6;0,0
3628;04:40:32;-13,2;0,0
3632;04:40:33;-12,8;0,0
3650;04:40:34;-6,8;0,0
3625;04:40:35;-9,4;0,0
3635;04:40:36;-9,8;0,0
3635;04:40:37;-9,6;0,0
3653;04:40:38;-10,6;0,0
3653;04:40:39;-11,2;0,0
3664;04:40:39;-5,8;0,0
3639;04:40:40;1,2;0,39
3833;04:40:41;55,8;1,06
4064;04:40:42;87,6;1,74
4161;04:40:43;122,2;2,58
4192;04:40:44;134,8;3,26
4188;04:40:45;163,0;3,94
4271;04:40:46;183,2;4,78
4326;04:40:46;199,4;5,47
4318;04:40:47;215,2;6,13
4366;04:40:48;224,6;6,98
4447;04:40:49;242,2;7,66
4334;04:40:50;248,4;8,33
4484;04:40:51;260,4;9,01
4574;04:40:52;276,2;9,86
4653;04:40:53;277,4;10,53
4653;04:40:54;286,4;11,21
4682;04:40:54;295,2;12,05
4712;04:40:55;300,6;12,73
4775;04:40:56;317,6;13,41
4818;04:40:57;317,0;14,25
4695;04:40:58;321,4;14,94
4775;04:40:59;330,8;15,61
4762;04:41:00;339,2;16,45
4860;04:41:01;347,4;17,13
4904;04:41:01;350,6;17,8
4951;04:41:02;358,6;18,65
5150;04:41:03;359,4;19,32
5172;04:41:04;366,4;20,0
5199;04:41:05;370,2;20,84
5226;04:41:06;370,8;21,52
5349;04:41:07;379,4;22,2
5534;04:41:08;381,0;23,04
5596;04:41:08;391,4;23,71
5563;04:41:09;391,8;24,39
5460;04:41:10;402,4;25,24
5634;04:41:11;403,4;25,91
5686;04:41:12;412,2;26,59
5734;04:41:13;416,8;27,44
5802;04:41:14;426,0;28,11
6064;04:41:15;429,4;28,79
6206;04:41:15;432,8;29,63
6325;04:41:16;432,6;30,31
6289;04:41:17;439,0;30,99
6217;04:41:18;443,8;31,66
6535;04:41:19;452,4;32,5
6403;04:41:20;451,2;33,18
6541;04:41:21;456,8;33,86
6610;04:41:22;461,8;34,71
6741;04:41:22;468,2;35,38
6762;04:41:23;466,0;36,05
6801;04:41:24;475,8;36,9
7086;04:41:25;473,6;37,58
7230;04:41:26;481,6;38,25
7201;04:41:27;484,0;39,1
7341;04:41:28;486,6;39,78
7459;04:41:29;492,6;40,45
7555;04:41:29;497,2;41,3
7700;04:41:30;503,4;41,97
7898;04:41:31;505,6;42,65
7805;04:41:32;509,4;43,5
7961;04:41:33;512,0;44,17
8164;04:41:34;518,8;44,85
8268;04:41:35;522,4;45,69
8334;04:41:36;525,8;46,37
8499;04:41:36;536,4;47,05
8613;04:41:37;535,0;47,89
8826;04:41:38;543,0;48,57
8874;04:41:39;539,2;49,24
8881;04:41:40;548,2;50,09
9193;04:41:41;546,8;50,76
9294;04:41:42;551,4;51,44
9396;04:41:43;561,4;52,12
9657;04:41:43;565,0;52,97
9725;04:41:44;562,4;53,64
9802;04:41:45;571,4;54,32
10066;04:41:46;575,2;55,16
10058;04:41:47;581,8;55,84
10281;04:41:48;580,8;56,52
10233;04:41:49;585,0;57,36
10525;04:41:50;593,6;58,04
10575;04:41:50;599,2;58,72
10500;04:41:51;594,2;59,56
11032;04:41:52;597,6;60,24
11145;04:41:53;612,2;60,91
11101;04:41:54;618,0;61,76
11564;04:41:55;624,4;62,43
11683;04:41:56;622,6;63,11
11757;04:41:57;625,2;63,96
11776;04:41:57;628,0;64,63
11897;04:41:58;635,6;65,31
12125;04:41:59;637,6;66,15
12396;04:42:00;647,8;66,83
12615;04:42:01;648,6;67,51
12950;04:42:02;653,0;68,36
13232;04:42:03;654,2;69,03
12857;04:42:04;656,0;69,71
13360;04:42:04;668,0;70,39
13392;04:42:05;668,4;71,23
13608;04:42:06;677,0;71,91
13918;04:42:07;674,0;72,59
14008;04:42:08;683,2;73,43
14099;04:42:09;682,2;74,11
14433;04:42:10;687,8;74,78
14598;04:42:11;698,2;75,63
15008;04:42:11;700,2;76,3
14753;04:42:12;705,4;76,98
15432;04:42:13;706,2;77,82
15676;04:42:14;710,4;78,5
15806;04:42:15;714,0;79,18
15689;04:42:16;719,8;80,02
16043;04:42:17;726,4;80,7
16545;04:42:18;731,8;81,38
16503;04:42:19;732,0;82,22
16881;04:42:19;745,8;82,9
17328;04:42:20;745,8;83,58
17401;04:42:21;748,8;84,42
17475;04:42:22;752,4;85,1
17654;04:42:23;758,4;85,77
18283;04:42:24;761,8;86,62
18252;04:42:25;775,2;87,29
18457;04:42:26;781,2;87,97
18730;04:42:26;781,4;88,82
19258;04:42:27;782,6;89,49
18795;04:42:28;787,8;90,17
19025;04:42:29;788,8;90,84
19275;04:42:30;793,2;91,69
19982;04:42:31;796,6;92,37
19650;04:42:32;804,2;93,04
20267;04:42:33;807,6;93,89
21062;04:42:33;806,4;94,56
20948;04:42:34;819,2;95,24
21138;04:42:35;819,2;96,09
21839;04:42:36;834,0;96,76
21859;04:42:37;828,2;97,44
22283;04:42:38;835,8;98,28
22263;04:42:39;842,0;98,96
22490;04:42:40;853,0;99,64
23124;04:42:40;851,6;100,48
23673;04:42:41;848,6;101,15
23807;04:42:42;847,2;101,83
24286;04:42:43;855,2;102,68
23852;04:42:44;873,6;103,35
24994;04:42:45;876,4;104,03
25732;04:42:46;877,6;104,88
25310;04:42:47;885,0;105,55
25832;04:42:47;888,0;106,23
26449;04:42:48;887,4;107,07
26554;04:42:49;893,0;107,75
26739;04:42:50;899,0;108,42
27637;04:42:51;895,2;109,27
27498;04:42:52;903,0;109,95
27946;04:42:53;917,4;110,62
28232;04:42:54;917,6;111,3
28668;04:42:54;920,0;112,15
28347;04:42:55;917,8;112,82
30519;04:42:56;927,2;113,5
30294;04:42:57;931,0;114,34
29758;04:42:58;946,0;115,02
30103;04:42:59;950,6;115,7
30551;04:43:00;950,8;116,54
29945;04:43:01;962,8;117,23
31063;04:43:01;965,8;117,89
31764;04:43:02;966,6;118,74
32881;04:43:03;970,2;119,42
33257;04:43:04;971,0;120,09
33809;04:43:05;971,4;120,94
34926;04:43:06;982,4;121,61
34505;04:43:07;986,8;122,29
35315;04:43:08;995,4;123,14
34156;04:43:08;1003,4;123,81
35032;04:43:09;1001,0;124,49
34715;04:43:10;1007,6;125,34
35599;04:43:11;1007,0;126,01
36855;04:43:12;1015,0;126,69
36711;04:43:13;1014,2;127,53
37584;04:43:14;1022,0;128,21
37110;04:43:15;1027,2;128,88
39857;04:43:15;1037,2;129,73
39781;04:43:16;1032,6;130,41
39555;04:43:17;1037,6;131,09
39141;04:43:18;1051,6;131,76
41273;04:43:19;1051,2;132,61
40123;04:43:20;1051,0;133,28
40887;04:43:21;1061,0;133,96
42916;04:43:22;1080,0;134,8
42521;04:43:22;1079,4;135,48
43233;04:43:23;1076,4;136,16
43913;04:43:24;1085,2;137,0
45619;04:43:25;1083,2;137,67
44275;04:43:26;1089,2;138,35
46446;04:43:27;1092,2;139,2
47451;04:43:28;1092,2;139,87
46031;04:43:29;1102,8;140,55
47409;04:43:29;1097,8;141,39
45990;04:43:30;1065,4;142,07
48385;04:43:31;1154,2;142,75
48214;04:43:32;1128,4;143,59
48814;04:43:33;1076,0;144,27
48513;04:43:34;1037,0;144,95
48685;04:43:35;1017,4;145,79
48771;04:43:36;991,6;146,47
48556;04:43:37;969,4;147,15
49548;04:43:37;956,0;147,99
49115;04:43:38;937,8;148,66
49548;04:43:39;919,0;149,34
49504;04:43:40;902,8;150,02
49418;04:43:41;884,2;150,87
48900;04:43:42;871,8;151,54
49374;04:43:43;864,4;152,22
49331;04:43:44;859,4;153,06
49548;04:43:44;847,8;153,74
49678;04:43:45;831,8;154,42
49244;04:43:46;824,8;155,26
49809;04:43:47;823,2;155,94
50421;04:43:48;816,6;156,61
49461;04:43:49;806,4;157,46
50114;04:43:50;799,6;158,13
50158;04:43:51;794,4;158,81
50070;04:43:51;790,4;159,66
50158;04:43:52;783,4;160,33
49896;04:43:53;777,2;161,01
50553;04:43:54;771,8;161,85
50114;04:43:55;768,6;162,53
50553;04:43:56;763,4;163,21
50377;04:43:57;761,0;164,05
50773;04:43:58;753,2;164,72
50377;04:43:58;749,8;165,4
50245;04:43:59;748,4;166,25
50465;04:44:00;743,0;166,93
50158;04:44:01;737,2;167,6
50377;04:44:02;736,8;168,45
49809;04:44:03;734,8;169,13
50421;04:44:04;724,4;169,8
50597;04:44:05;728,4;170,48
50245;04:44:05;726,0;171,32
50465;04:44:06;719,0;172,0
50027;04:44:07;713,6;172,68
50377;04:44:08;713,4;173,52
50509;04:44:09;710,2;174,2
50685;04:44:10;703,4;174,87
49809;04:44:11;702,0;175,72
50158;04:44:12;701,8;176,4
50553;04:44:12;695,4;177,07
50729;04:44:13;696,0;177,92
50597;04:44:14;687,8;178,59
50685;04:44:15;685,6;179,27
50641;04:44:16;681,2;180,12
50509;04:44:17;679,8;180,8
50950;04:44:18;681,0;181,47
51083;04:44:19;677,2;182,32
50906;04:44:19;676,4;182,99
50817;04:44:20;677,0;183,67
50553;04:44:21;674,8;184,51
51127;04:44:22;670,6;185,19
50861;04:44:23;668,4;185,87
50729;04:44:24;671,0;186,71
51304;04:44:25;667,2;187,39
