L0 = ;d = ;Polymer 
 ; ;TEMP:;ok T:18.7 /0.0 B:0.0 /0.0 T0:18.7 /0.0 @:0 B
 ; ;TEMP:;ok T:18.7 /0.0 B:0.0 /0.0 T0:18.7 /0.0 @:0 B
3643;04:36:58;2,0;0
3639;04:36:58;2,6;0,0
3650;04:36:59;1,2;0,0
3646;04:37:00;1,0;0,0
3628;04:37:01;7,8;0,0
3643;04:37:02;5,0;0,0
3650;04:37:03;1,0;0,0
3628;04:37:04;3,2;0,0
3643;04:37:05;-0,6;0,0
3632;04:37:06;0,0;0,0
3646;04:37:06;0,2;0,0
3617;04:37:07;-0,2;0,0
3632;04:37:08;-0,4;0,0
3635;04:37:09;2,4;0,0
3646;04:37:10;2,4;0,0
3635;04:37:11;-1,2;0,0
3650;04:37:12;0,0;0,0
3653;04:37:13;4,0;0,0
3657;04:37:13;1,4;0,0
3675;04:37:14;-2,4;0,0
3635;04:37:15;0,2;0,0
3650;04:37:16;3,6;0,0
3661;04:37:17;-0,2;0,0
