L0 = ;d = ;Polymer 
 ; ;TEMP:;ok T:18.4 /0.0 B:0.0 /0.0 T0:18.4 /0.0 @:0 B
 ; ;TEMP:;ok T:18.4 /0.0 B:0.0 /0.0 T0:18.4 /0.0 @:0 B
702;03:57:33;2,0;0
703;03:57:34;11,2;0,0
702;03:57:35;10,0;0,0
704;03:57:36;11,8;0,0
700;03:57:37;13,0;0,0
702;03:57:38;12,2;0,0
704;03:57:39;14,4;0,0
704;03:57:39;11,8;0,0
703;03:57:40;5,0;0,0
705;03:57:41;10,6;0,0
704;03:57:42;6,8;0,0
705;03:57:43;4,2;0,0
702;03:57:44;0,0;0,0
705;03:57:45;0,4;0,0
705;03:57:46;-1,6;0,0
707;03:57:46;-0,6;0,0
705;03:57:47;5,8;0,0
707;03:57:48;11,6;0,0
707;03:57:49;9,0;0,0
708;03:57:50;-1,6;0,0
707;03:57:51;1,2;0,0
707;03:57:52;2,6;0,0
708;03:57:53;2,2;0,0
706;03:57:53;-1,4;0,0
696;03:57:54;3,4;0,0
697;03:57:55;2,4;0,0
697;03:57:56;2,4;0,0
690;03:57:57;-0,4;0,0
690;03:57:58;-2,8;0,0
691;03:57:59;5,4;0,0
690;03:58:00;6,8;0,0
691;03:58:00;4,0;0,0
690;03:58:01;0,0;0,0
692;03:58:02;2,8;0,0
690;03:58:03;7,0;0,0
691;03:58:04;0,6;0,0
692;03:58:05;4,4;0,0
696;03:58:06;4,0;0,0
694;03:58:07;0,4;0,0
696;03:58:07;5,2;0,0
695;03:58:08;7,6;0,0
701;03:58:09;12,6;0,42
721;03:58:10;20,6;1,1
746;03:58:11;21,6;1,94
770;03:58:12;27,4;2,62
801;03:58:13;38,6;3,29
823;03:58:14;39,6;4,14
843;03:58:14;41,6;4,81
863;03:58:15;42,4;5,49
887;03:58:16;44,6;6,33
908;03:58:17;49,8;7,01
933;03:58:18;41,4;7,69
953;03:58:19;51,2;8,53
966;03:58:20;51,8;9,21
995;03:58:21;62,0;9,88
1010;03:58:21;69,6;10,73
1023;03:58:22;68,8;11,4
1046;03:58:23;81,2;12,08
1072;03:58:24;89,2;12,92
1100;03:58:25;90,0;13,6
1121;03:58:26;99,4;14,27
1156;03:58:27;115,4;15,12
1202;03:58:28;135,8;15,79
1248;03:58:28;159,2;16,47
1326;03:58:29;185,0;17,32
1421;03:58:30;229,8;18,0
1528;03:58:31;272,6;18,67
1650;03:58:32;320,6;19,52
1726;03:58:33;345,6;20,21
1783;03:58:34;373,8;20,87
1905;03:58:35;405,2;21,71
2005;03:58:35;432,6;22,39
2047;03:58:36;449,6;23,06
2091;03:58:37;468,4;23,91
2112;03:58:38;482,8;24,59
2128;03:58:39;492,4;25,26
2151;03:58:40;503,6;25,94
2193;03:58:41;511,4;26,79
2231;03:58:42;525,0;27,46
2297;03:58:43;532,6;28,13
2310;03:58:43;546,6;28,98
2277;03:58:44;549,8;29,66
2347;03:58:45;556,2;30,33
2362;03:58:46;566,2;31,18
2396;03:58:47;565,2;31,85
2403;03:58:48;578,0;32,53
2433;03:58:49;582,8;33,37
2438;03:58:50;586,2;34,05
2478;03:58:50;586,4;34,72
2654;03:58:51;597,0;35,57
2697;03:58:52;599,2;36,25
2628;03:58:53;606,6;36,92
2735;03:58:54;607,6;37,77
2757;03:58:55;616,0;38,44
2786;03:58:56;620,0;39,12
2783;03:58:57;624,0;39,96
2837;03:58:57;629,2;40,64
2870;03:58:58;634,8;41,32
2855;03:58:59;628,8;42,16
2936;03:59:00;635,0;42,83
2983;03:59:01;631,4;43,51
3002;03:59:02;640,6;44,36
3111;03:59:03;651,8;45,03
3037;03:59:04;647,6;45,71
3182;03:59:04;655,2;46,56
3075;03:59:05;664,4;47,23
3249;03:59:06;664,6;47,9
3266;03:59:07;665,2;48,75
3321;03:59:08;673,4;49,43
3239;03:59:09;674,2;50,1
3503;03:59:10;674,4;50,78
3373;03:59:11;682,2;51,63
3539;03:59:11;681,8;52,3
3499;03:59:12;689,6;52,47
