L0 = ;d = ;Polymer 
 ;TEMP:;T:20.8 /0.0 B:0.0 /0.0 T0:20.8 /0.0 @:0 B
 ;TEMP:;T:20.6 /0.0 B:0.0 /0.0 T0:20.6 /0.0 @:0 B
75580240;11:38:19;2,4;0
160919968;11:38:20;0,2;0,0
37701700;11:38:21;-2,6;0,0
54885596;11:38:22;1,6;0,0
163353664;11:38:23;1,8;0,0
59566912;11:38:24;4,0;0,0
107986320;11:38:25;1,2;0,0
77412328;11:38:25;-1,6;0,0
38119048;11:38:26;-1,6;0,0
95049472;11:38:27;2,6;0,0
80480304;11:38:28;0,2;0,0
66741432;11:38:29;-0,8;0,0
296793056;11:38:30;1,0;0,0
41744116;11:38:31;-2,4;0,0
46415160;11:38:32;0,0;0,0
171767856;11:38:32;-2,8;0,05
58596100;11:38:33;1,2;0,11
107137384;11:38:34;-1,8;0,18
65328072;11:38:35;-2,8;0,27
42851228;11:38:36;-3,4;0,34
112731688;11:38:37;-1,2;0,4
71727768;11:38:38;-3,0;0,49
70918552;11:38:39;-1,2;0,56
122387016;11:38:39;11,2;0,62
36977520;11:38:40;5,2;0,71
68964456;11:38:41;6,0;0,78
85047616;11:38:42;17,6;0,84
64640920;11:38:43;108,0;0,93
219865984;11:38:44;135,4;1,0
43772000;11:38:45;147,8;1,07
49191996;11:38:46;147,6;1,15
185652496;11:38:46;161,6;1,22
64077832;11:38:47;163,0;1,29
119919288;11:38:48;178,6;1,37
63966268;11:38:49;177,4;1,44
41852720;11:38:50;179,6;1,51
166495808;11:38:51;192,0;1,59
64754536;11:38:52;194,6;1,66
82357672;11:38:53;204,2;1,73
127228904;11:38:53;209,6;1,81
35804644;11:38:54;219,8;1,88
74692856;11:38:55;224,6;1,95
94824248;11:38:56;245,6;2,03
67590832;11:38:57;250,8;2,1
195573344;11:38:58;259,6;2,17
46030696;11:38:59;274,4;2,25
46544500;11:39:00;282,2;2,32
152915728;11:39:00;283,6;2,39
60363836;11:39:01;288,0;2,46
91138528;11:39:02;297,6;2,54
105749232;11:39:03;304,0;2,61
45092304;11:39:04;299,4;2,68
95049472;11:39:05;305,0;2,76
77101552;11:39:06;302,8;2,83
64640920;11:39:07;274,6;2,9
239962240;11:39:08;289,0;2,98
40682904;11:39:08;299,6;3,05
46739632;11:39:09;315,2;3,12
148155216;11:39:10;320,2;3,2
63085528;11:39:11;332,6;3,27
90929880;11:39:12;334,6;3,34
86168264;11:39:13;343,0;3,42
36888564;11:39:14;343,8;3,49
81837968;11:39:15;351,6;3,56
80815928;11:39:15;370,6;3,64
69347696;11:39:16;380,2;3,71
204645568;11:39:17;384,8;3,78
40630992;11:39:18;395,0;3,86
45092304;11:39:19;399,0;3,93
181796640;11:39:20;397,2;4,0
60263216;11:39:21;408,6;4,08
92624184;11:39:22;426,0;4,15
79000496;11:39:22;422,0;4,22
34609124;11:39:23;435,4;4,3
84497120;11:39:24;437,2;4,37
88491176;11:39:25;446,4;4,44
62225784;11:39:26;462,0;4,52
180296480;11:39:27;462,6;4,59
40168616;11:39:28;471,4;4,66
40117768;11:39:29;482,4;4,75
249298592;11:39:29;489,0;4,81
61179308;11:39:30;492,0;4,88
68459352;11:39:31;505,2;4,96
131202456;11:39:32;515,0;5,03
37022128;11:39:33;529,6;5,1
56195208;11:39:34;538,6;5,19
117542328;11:39:35;550,8;5,25
54545128;11:39:36;573,4;5,32
150764752;11:39:36;592,2;5,41
54971256;11:39:37;598,0;5,47
41961780;11:39:38;616,4;5,54
167785280;11:39:39;632,8;5,63
67224496;11:39:40;652,8;5,69
75729976;11:39:41;663,2;5,76
173827840;11:39:42;672,8;5,85
38783176;11:39:43;692,2;5,92
54376304;11:39:43;701,8;5,98
153462208;11:39:44;718,8;6,05
63303784;11:39:45;734,2;6,14
126843936;11:39:46;740,4;6,2
70918552;11:39:47;746,0;6,27
39024860;11:39:48;743,2;6,35
90308896;11:39:49;757,4;6,42
92195248;11:39:50;762,0;6,49
66028180;11:39:50;780,6;6,58
153462208;11:39:51;799,4;6,65
52655412;11:39:52;817,8;6,71
44484136;11:39:53;836,6;6,8
137169920;11:39:54;853,2;6,86
67103132;11:39:55;874,6;6,93
66383112;11:39:56;877,0;7,02
276859488;11:39:57;800,4;7,09
39664768;11:39:57;654,6;7,15
42570004;11:39:58;689,0;7,24
169093088;11:39:59;725,4;7,31
61803484;11:40:00;768,2;7,37
73113240;11:40:01;817,6;7,46
153462208;11:40:02;855,8;7,53
38735108;11:40:03;880,8;7,59
50057736;11:40:04;916,0;7,68
165225312;11:40:04;951,0;7,75
56915728;11:40:05;986,4;7,82
78358336;11:40:06;1029,8;7,9
120266416;11:40:07;1060,0;7,97
35762336;11:40:08;1096,6;8,04
52735260;11:40:09;1144,2;8,11
116879096;11:40:10;1186,0;8,19
54629952;11:40:11;1216,6;8,26
89695528;11:40:11;1267,4;8,33
87315760;11:40:12;1328,4;8,41
34932576;11:40:13;1413,0;8,48
60769188;11:40:14;1486,2;8,55
93932928;11:40:15;1565,0;8,63
57745416;11:40:16;1652,4;8,7
123473784;11:40:17;1744,6;8,77
64077832;11:40:18;1826,4;8,85
37382108;11:40:18;1900,4;8,92
92840040;11:40:19;1984,2;8,99
77882768;11:40:20;2092,6;9,07
65676532;11:40:21;2174,4;9,14
163353664;11:40:22;2271,0;9,21
46222264;11:40:23;2357,0;9,29
39318120;11:40:24;2449,0;9,36
118212592;11:40:25;2539,8;9,43
72138488;11:40:26;2628,4;9,51
66982208;11:40:26;2721,2;9,58
163973392;11:40:27;2820,8;9,65
40682904;11:40:28;2925,2;9,74
43422956;11:40:29;3026,2;9,8
158553600;11:40:30;3128,2;9,87
67468312;11:40:31;3227,6;9,96
65793332;11:40:32;3330,2;10,02
210485056;11:40:33;3419,2;10,09
44364120;11:40:33;3504,0;10,16
40219572;11:40:34;3606,2;10,24
133277072;11:40:35;3718,2;10,31
67713680;11:40:36;3810,2;10,38
63523252;11:40:37;3914,8;10,46
204645568;11:40:38;4025,6;10,53
40787032;11:40:39;4131,4;10,6
40682904;11:40:40;4238,4;10,69
145134016;11:40:40;4300,6;10,75
71591752;11:40:41;4373,8;10,82
63413352;11:40:42;4487,2;10,9
216652192;11:40:43;4579,4;10,97
43655144;11:40:44;4650,6;11,04
38496300;11:40:45;4749,4;11,13
119574344;11:40:46;4847,6;11,19
76182320;11:40:47;4952,8;11,26
66502108;11:40:47;5071,2;11,34
228904064;11:40:48;5172,4;11,41
43078424;11:40:49;5277,4;11,48
40682904;11:40:50;5395,0;11,57
118550424;11:40:51;5490,8;11,63
73113240;11:40:52;5587,4;11,7
68084736;11:40:53;5696,4;11,79
195573344;11:40:54;5798,4;11,85
42907856;11:40:54;5909,8;11,92
