L0 = ;d = ;Polymer 
 ; ;TEMP:;ok T:18.6 /0.0 B:0.0 /0.0 T0:18.6 /0.0 @:0 B
 ; ;TEMP:;ok T:18.8 /0.0 B:0.0 /0.0 T0:18.8 /0.0 @:0 B
3672;04:19:29;12,6;0
3686;04:19:29;8,6;0,0
3690;04:19:30;9,4;0,0
3697;04:19:31;6,2;0,0
3704;04:19:32;5,0;0,0
3690;04:19:33;8,4;0,0
3686;04:19:34;8,2;0,0
3682;04:19:35;12,2;0,0
3693;04:19:36;7,6;0,0
3697;04:19:36;9,8;0,0
3682;04:19:37;7,4;0,0
3679;04:19:38;10,0;0,0
3675;04:19:39;9,0;0,0
3701;04:19:40;9,8;0,0
3686;04:19:41;9,2;0,0
3715;04:19:42;11,6;0,0
3693;04:19:43;9,0;0,0
3690;04:19:43;8,2;0,0
3672;04:19:44;4,6;0,0
3682;04:19:45;4,8;0,0
3697;04:19:46;12,0;0,0
3708;04:19:47;10,8;0,0
3679;04:19:48;9,6;0,0
3723;04:19:49;9,4;0,0
