L0 = ;d = ;Polymer 
 ;TEMP:;T:19.7 /0.0 B:0.0 /0.0 T0:19.7 /0.0 @:0 B
 ;TEMP:;T:19.8 /0.0 B:0.0 /0.0 T0:19.8 /0.0 @:0 B
3165;07:51:28;4,2;0
3128;07:51:29;3,2;0,0
3141;07:51:29;3,0;0,0
3161;07:51:30;-2,0;0,0
3161;07:51:31;2,6;0,0
3151;07:51:32;3,4;0,0
3131;07:51:33;5,4;0,0
3145;07:51:34;1,8;0,0
3148;07:51:35;-2,2;0,0
3108;07:51:36;2,4;0,0
3125;07:51:36;5,8;0,0
3135;07:51:37;3,6;0,0
3161;07:51:38;0,4;0,0
3128;07:51:39;1,6;0,0
3151;07:51:40;0,0;0,0
3145;07:51:41;2,0;0,0
3131;07:51:42;1,6;0,0
3141;07:51:43;5,2;0,0
3125;07:51:43;1,2;0,0
3131;07:51:44;1,8;0,0
3182;07:51:45;5,2;0,0
3115;07:51:46;2,2;0,0
3135;07:51:47;1,4;0,0
3148;07:51:48;-1,0;0,0
3115;07:51:49;-0,6;0,0
3138;07:51:50;1,6;0,0
3145;07:51:50;2,6;0,0
3138;07:51:51;-0,2;0,0
3115;07:51:52;4,0;0,0
3131;07:51:53;5,6;0,0
3172;07:51:54;0,4;0,0
3128;07:51:55;1,2;0,01
3115;07:51:56;0,0;0,09
3188;07:51:57;1,8;0,16
3115;07:51:57;1,6;0,22
3108;07:51:58;9,4;0,31
3141;07:51:59;8,4;0,37
3118;07:52:00;10,4;0,44
3182;07:52:01;16,4;0,52
3145;07:52:02;18,8;0,59
3239;07:52:03;15,6;0,65
3222;07:52:04;21,4;0,74
3226;07:52:04;25,4;0,8
3284;07:52:05;28,8;0,87
3280;07:52:06;32,2;0,95
3359;07:52:07;34,8;1,02
3394;07:52:08;35,2;1,08
3394;07:52:09;46,0;1,17
3433;07:52:10;43,6;1,23
3433;07:52:11;42,0;1,3
3447;07:52:11;45,2;1,38
3531;07:52:12;49,6;1,45
3542;07:52:13;47,4;1,51
3574;07:52:14;56,0;1,6
3646;07:52:15;57,4;1,66
3712;07:52:16;57,2;1,73
3741;07:52:17;58,6;1,81
3807;07:52:18;60,8;1,88
3844;07:52:19;65,8;1,94
3908;07:52:19;64,8;2,03
3923;07:52:20;72,2;2,09
4025;07:52:21;69,8;2,16
4025;07:52:22;71,2;2,24
4091;07:52:23;73,2;2,31
4165;07:52:24;76,4;2,37
4172;07:52:25;79,0;2,44
4354;07:52:26;73,2;2,52
4298;07:52:26;80,0;2,59
4362;07:52:27;80,2;2,65
4419;07:52:28;84,0;2,74
4463;07:52:29;82,4;2,81
4533;07:52:30;79,4;2,87
4500;07:52:31;80,2;2,95
4640;07:52:32;86,6;3,02
4628;07:52:33;81,8;3,09
4733;07:52:33;89,6;3,17
4856;07:52:34;89,4;3,23
4865;07:52:35;94,0;3,3
4886;07:52:36;93,2;3,38
4964;07:52:37;88,8;3,45
4960;07:52:38;92,4;3,52
5092;07:52:39;96,0;3,6
5008;07:52:40;93,6;3,66
5145;07:52:40;91,2;3,73
5249;07:52:41;95,4;3,81
