L0 = ;d = ;Polymer 
 ; ;TEMP:;ok T:18.6 /0.0 B:0.0 /0.0 T0:18.6 /0.0 @:0 B
 ; ;TEMP:;ok T:18.6 /0.0 B:0.0 /0.0 T0:18.6 /0.0 @:0 B
3639;04:31:41;-1,2;0
3657;04:31:42;-3,2;0,0
3653;04:31:43;-5,4;0,0
3661;04:31:43;-2,6;0,0
3664;04:31:44;-0,8;0,0
3657;04:31:45;0,4;0,0
3668;04:31:46;-2,6;0,0
3664;04:31:47;3,2;0,0
3661;04:31:48;-6,2;0,0
3635;04:31:49;-3,0;0,0
3653;04:31:50;-3,6;0,0
3653;04:31:50;3,4;0,0
3682;04:31:51;2,2;0,0
3668;04:31:52;-3,8;0,0
3668;04:31:53;-2,8;0,0
3650;04:31:54;4,2;0,0
3653;04:31:55;-1,2;0,0
3643;04:31:56;0,8;0,0
3672;04:31:57;-4,0;0,0
3646;04:31:57;-4,6;0,0
3664;04:31:58;-8,4;0,0
3668;04:31:59;1,8;0,0
3657;04:32:00;-2,0;0,0
