L0 = ;d = ;Polymer 
 ;TEMP:;T:20.2 /0.0 B:0.0 /0.0 T0:20.2 /0.0 @:0 B
 ;TEMP:;T:20.2 /0.0 B:0.0 /0.0 T0:20.2 /0.0 @:0 B
13137;08:04:46;-12,8;0
13179;08:04:47;-12,0;0,0
13158;08:04:48;-8,8;0,0
13211;08:04:49;-9,2;0,0
13064;08:04:49;-5,6;0,0
13200;08:04:50;-10,0;0,0
13169;08:04:51;-4,8;0,0
13074;08:04:52;-8,6;0,0
13085;08:04:53;-2,0;0,0
13137;08:04:54;-1,2;0,0
13127;08:04:55;2,0;0,0
13169;08:04:56;-4,6;0,0
13095;08:04:56;-10,0;0,0
13169;08:04:57;-8,4;0,0
13064;08:04:58;-9,2;0,0
13054;08:04:59;-8,8;0,0
13200;08:05:00;-6,4;0,0
13106;08:05:01;-8,4;0,0
13285;08:05:02;-3,4;0,0
13158;08:05:03;-6,8;0,0
13127;08:05:03;-10,4;0,0
13148;08:05:04;-12,0;0,0
13116;08:05:05;-5,4;0,0
13033;08:05:06;-10,8;0,0
13106;08:05:07;-12,8;0,0
13137;08:05:08;-8,8;0,0
13106;08:05:09;-6,8;0,0
13106;08:05:10;-8,0;0,0
13148;08:05:10;-11,6;0,0
13127;08:05:11;-7,0;0,0
13106;08:05:12;-9,2;0,0
13106;08:05:13;-7,2;0,0
13054;08:05:14;-3,4;0,0
13137;08:05:15;-7,4;0,0
13074;08:05:16;-3,6;0,0
13127;08:05:17;-8,2;0,0
13243;08:05:17;-3,4;0,0
13095;08:05:18;-4,2;0,0
13200;08:05:19;-10,4;0,0
13148;08:05:20;-0,8;0,0
13074;08:05:21;-5,2;0,0
13033;08:05:22;-4,4;0,0
13074;08:05:23;-9,4;0,0
13127;08:05:24;-2,0;0,0
13095;08:05:24;-8,0;0,0
13054;08:05:25;1,6;0,0
13085;08:05:26;-8,0;0,0
13085;08:05:27;-3,8;0,0
13127;08:05:28;-9,2;0,0
13116;08:05:29;-11,6;0,0
13002;08:05:30;-3,8;0,0
13106;08:05:31;-5,2;0,0
13127;08:05:31;-8,2;0,0
13012;08:05:32;-7,2;0,31
13674;08:05:33;6,0;0,98
14705;08:05:34;18,2;1,66
15269;08:05:35;30,8;2,5
15740;08:05:36;32,4;3,18
15766;08:05:37;34,0;3,86
16231;08:05:38;37,8;4,7
16642;08:05:38;45,6;5,38
16572;08:05:39;55,4;6,05
16909;08:05:40;54,0;6,9
17124;08:05:41;55,6;7,57
17401;08:05:42;59,8;8,25
17624;08:05:43;64,0;9,09
17564;08:05:44;66,0;9,77
18065;08:05:45;62,2;10,44
18158;08:05:45;68,2;11,29
18205;08:05:46;71,2;11,96
18457;08:05:47;76,8;12,64
18617;08:05:48;82,8;13,48
18682;08:05:49;82,8;14,16
18844;08:05:50;83,4;14,83
19258;08:05:51;83,2;15,68
18893;08:05:52;87,4;16,35
19158;08:05:52;88,2;17,03
19807;08:05:53;84,4;17,88
19841;08:05:54;100,2;18,55
19982;08:05:55;89,8;19,23
20053;08:05:56;93,4;20,07
20412;08:05:57;102,8;20,75
20576;08:05:58;104,0;21,42
20540;08:05:59;105,2;22,27
21329;08:06:00;104,4;22,94
20687;08:06:00;116,8;23,62
21024;08:06:01;112,6;24,46
21329;08:06:02;109,8;25,14
21700;08:06:03;121,4;25,82
21523;08:06:04;118,2;26,49
22615;08:06:05;116,0;27,34
22080;08:06:06;118,8;28,01
22243;08:06:07;124,6;28,69
22366;08:06:07;123,0;29,53
22283;08:06:08;132,0;30,21
22161;08:06:09;131,8;30,88
23146;08:06:10;134,8;31,73
